Ebene;Pfad;AlsMappe;Begruendung
1;01 Internationales Steuerrecht;nein;Ebene 1 bleibt navigativer Ordner - Mappen liegen auf Ebene 2
2;01 Internationales Steuerrecht/Amtshilfe und Rechtshilfe;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Auslandsimmobilie;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Betriebstaette;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/DBA-DE-CH;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/DBA-DE-CH ErbSt;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Freihandel;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/IP-Box;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Malta;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Mitteilungspflichten;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Monaco;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/OECD - Mindestbesteuerung;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Steuerabkommen_CH;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Verrechnungspreise;ja;Themenordner - wird Wissensmappe
2;01 Internationales Steuerrecht/Zypern;ja;Themenordner - wird Wissensmappe
1;02 Steuern DE;nein;Ebene 1 bleibt navigativer Ordner - Mappen liegen auf Ebene 2
2;02 Steuern DE/Betriebsprüfung;ja;Themenordner - wird Wissensmappe
2;02 Steuern DE/Bewertung;ja;Themenordner - wird Wissensmappe
2;02 Steuern DE/Bilanz und Jahresabschluss;ja;Themenordner - wird Wissensmappe
2;02 Steuern DE/CO2_Emsssionshandel;ja;Themenordner - wird Wissensmappe
2;02 Steuern DE/Einkommensteuer;ja;Themenordner - wird Wissensmappe
2;02 Steuern DE/Erbschaftsteuer;ja;Themenordner - wird Wissensmappe
2;02 Steuern DE/Kassenbuchführung;ja;Themenordner - wird Wissensmappe
