ServerRelativePath;LocalPath;FileLeafRef;Jahr;Autor;Werk;Seite;Fundstelle;Dokumenttyp;Rechtsordnung;Rechtsgebiet
Wissen/Notizbuch-fuer-Wissen/Diverses/Auslegen-und-Subsumieren-mit-ChatGPT-NJW-2024,-2092.md;Notizbuch-fuer-Wissen/Diverses/Auslegen-und-Subsumieren-mit-ChatGPT-NJW-2024,-2092.md;Auslegen-und-Subsumieren-mit-ChatGPT-NJW-2024,-2092.md;2024;Dietrich;NJW;2092;NJW 2024, 2092;Fachaufsatz;;
Wissen/Notizbuch-fuer-Wissen/Diverses/Dachverein.md;Notizbuch-fuer-Wissen/Diverses/Dachverein.md;Dachverein.md;;;;;;;;
Wissen/Notizbuch-fuer-Wissen/Diverses/Die-grösste-Kanzlei-der-Welt-–-ein-Verein-nach-Schweizer-Recht!-Vista-Blog.md;Notizbuch-fuer-Wissen/Diverses/Die-grösste-Kanzlei-der-Welt-–-ein-Verein-nach-Schweizer-Recht!-Vista-Blog.md;Die-grösste-Kanzlei-der-Welt-–-ein-Verein-nach-Schweizer-Recht!-Vista-Blog.md;;;;;;;Schweiz (CH);
Wissen/Notizbuch-fuer-Wissen/Diverses/Document-Discovery-Benefits-of-Investigative-Data-Platforms.md;Notizbuch-fuer-Wissen/Diverses/Document-Discovery-Benefits-of-Investigative-Data-Platforms.md;Document-Discovery-Benefits-of-Investigative-Data-Platforms.md;;;;;;;;Direkte Steuern
Wissen/Notizbuch-fuer-Wissen/Diverses/Erklärungsformulare-zum-AStG.md;Notizbuch-fuer-Wissen/Diverses/Erklärungsformulare-zum-AStG.md;Erklärungsformulare-zum-AStG.md;;;;;;;;Internationales Steuerrecht
Wissen/Notizbuch-fuer-Wissen/Diverses/Lawyer's-Guide-to-Investigative-Data-Gathering-Data-on-Your-Client.md;Notizbuch-fuer-Wissen/Diverses/Lawyer's-Guide-to-Investigative-Data-Gathering-Data-on-Your-Client.md;Lawyer's-Guide-to-Investigative-Data-Gathering-Data-on-Your-Client.md;;;;;;;;Direkte Steuern
Wissen/Notizbuch-fuer-Wissen/Diverses/Real-Time-Tax-Compliance.md;Notizbuch-fuer-Wissen/Diverses/Real-Time-Tax-Compliance.md;Real-Time-Tax-Compliance.md;;;;;;;;
Wissen/Notizbuch-fuer-Wissen/Diverses/Transferpricing.md;Notizbuch-fuer-Wissen/Diverses/Transferpricing.md;Transferpricing.md;;;;;;;International / Bilateral;Verrechnungspreise
Wissen/Notizbuch-fuer-Wissen/Diverses/Unbenannte-Seite-2.md;Notizbuch-fuer-Wissen/Diverses/Unbenannte-Seite-2.md;Unbenannte-Seite-2.md;;;;;;;;
Wissen/Notizbuch-fuer-Wissen/Diverses/Unbenannte-Seite.md;Notizbuch-fuer-Wissen/Diverses/Unbenannte-Seite.md;Unbenannte-Seite.md;;;;;;;;
